CLID	NAME	1X	2X	3X	4X	5X	BT474	MCF7	SKBR3	T47D	NORWAY 7	NORWAY 10	NORWAY 11	NORWAY 12	NORWAY 14	NORWAY 15	NORWAY 16	NORWAY 17	NORWAY 18	NORWAY 19	NORWAY 26	NORWAY 27	NORWAY 39	NORWAY 41	NORWAY 47	NORWAY 48	NORWAY 53	NORWAY 56	NORWAY 57	NORWAY 61	NORWAY 65	NORWAY 100	NORWAY 101	NORWAY 102	NORWAY 104	NORWAY 109	NORWAY 111	NORWAY 112	STANFORD 2	STANFORD 14	STANFORD 16	STANFORD 17	STANFORD 23	STANFORD 24	STANFORD 35	STANFORD 38	STANFORD A	BT474 (mRNA)	MCF7 (mRNA)	SKBR3 (mRNA)	T47D (mRNA)	NORWAY 7 (mRNA)	NORWAY 10 (mRNA)	NORWAY 11 (mRNA)	NORWAY 12 (mRNA)	NORWAY 14 (mRNA)	NORWAY 15 (mRNA)	NORWAY 16 (mRNA)	NORWAY 17 (mRNA)	NORWAY 18 (mRNA)	NORWAY 19 (mRNA)	NORWAY 26 (mRNA)	NORWAY 27 (mRNA)	NORWAY 39 (mRNA)	NORWAY 41 (mRNA)	NORWAY 47 (mRNA)	NORWAY 48 (mRNA)	NORWAY 53 (mRNA)	NORWAY 56 (mRNA)	NORWAY 57 (mRNA)	NORWAY 61 (mRNA)	NORWAY 65 (mRNA)	NORWAY 100 (mRNA)	NORWAY 101 (mRNA)	NORWAY 102 (mRNA)	NORWAY 104 (mRNA)	NORWAY 109 (mRNA)	NORWAY 111 (mRNA)	NORWAY 112 (mRNA)	STANFORD 2 (mRNA)	STANFORD 14 (mRNA)	STANFORD 16 (mRNA)	STANFORD 17 (mRNA)	STANFORD 23 (mRNA)	STANFORD 24 (mRNA)	STANFORD 35 (mRNA)	STANFORD 38 (mRNA)	STANFORD A (mRNA)
IMAGE:347615	chr1|nt1576763||W81525||ESTs	-0.25	0.16	0	-0.06	0.25	0.04	0.31	-0.03	0	-0.23	0.08	0.04	-0.01	-0.18	-0.2	-0.07	0.08	0.01	-0.47	0.31	-0.22	0.15	-0.14	0.08	-0.01	0.03	0.14	-0.06	0.01	-0.56	0.2	0.12	-0.22	-0.1	0.11	0.06	-0.04	0.01	0.12	-0.1	-0.09	0.21	0.03	0	0	-0.09	0.18	0.52	0.14	0.23	0.53	0.76	-0.33		-0.21	-0.1	-0.2	0.14	0.58	0.25	0.12	-0.31	0.01	0.61	0.05	-0.23	0	-0.42		-0.13	0.01	-0.44	0.17	-0.03	-0.44	-0.4	-0.62	0.06	-0.18	0.24	-0.05	0.34	0.33	-0.21	-0.06	0.13	-0.02
IMAGE:175536	"chr1|nt1579159|1p36.3|H41122|GABRD|gamma-aminobutyric acid (GABA) A receptor, delta"	0.03	-0.1	-0.4	-0.3	-0.12	-0.01	-0.64	0.21	-0.56	-0.14	-0.12	0.16	-0.01	-0.09	0.14	-0.15	0.08	-0.15	-0.14	-0.49	-0.01	-0.03	0.15	-0.01	-0.01	0.06	-0.1	0.25	0.08	0.06	-0.12	-0.15	-0.27	0.14	-0.23	-0.81	-0.1	-0.09	-0.23	0.15	-0.03	-0.38	0.3	-0.67	-0.42	-0.42		0.42		-0.64	-2	0.41	1.64		0.81	-0.71	-0.26	0.12		-0.34	-0.33	0.23	-0.93		-0.4	0.28	0.03	0.18	0.48	0.22		-0.62	1.09	-0.3		-0.5	0.08				1.99		-1.14				
IMAGE:72778	"chr1|nt1710318|*10q25|T50675|CASP7|caspase 7, apoptosis-related cysteine protease"	0.15	0.33	0.43	0.39	0.49	-0.23	-0.09	0	-0.18	-0.1	-0.2	-0.27		0.16	0.2	0.07	0.11	0.2	0.16		0	0.04	0.15	0.18	0.14	0.07	0.08	0.08	0.03	0.14	-0.01	0.26	-0.04	-0.03	-0.01	0.23	-0.07	0.11	0.11	-0.07	0.15	0.33	0.06	0.44	0.32	0.1	-0.59	0.24	-0.1	0.31	-0.23	-0.43	-0.28	-0.15	-0.28	0.25	-0.01	0.25	0.05	0.17	-0.15	0.11	0.37	-0.23	0.23	-0.13	-0.19	-0.08	0	0.02	-0.1	0.7	0.81	0.1	-0.3	0.46	0.36	-0.12	-0.15	-0.1	-0.06	0.02	-0.19	-0.08	-0.23	-0.05	-0.41
IMAGE:840600	"chr1|nt1823834|1p36.21-36.33|AA487912|GNB1|guanine nucleotide binding protein (G protein), beta polypeptide 1"	0.33	0.11	0.08	0	0	-0.29	-0.74	0.3	-0.94	-0.1	-0.07	-0.23	0.51	0.21	0.58	0.23	0.1	0.11	0.11	-0.03	-0.07	-0.32	0.38	0.16	0.1	0.03	-0.03	-0.07	0.29	0.3	-0.12	-0.17	-0.4	-0.06	-0.15	-0.67	-0.1	-0.51	-0.01	0.29	-0.06	-0.29	0.01	-0.23	0.12	-0.42	0.68	0.12	0.88	-0.05	-0.23	0.15	-0.32	-0.11	-0.06	0.43	0.27	-0.05	0.16	0.14	0.05	0.55	-0.43	0	0.69	-0.06	0.38	0.45	-0.25	-0.03	0.2	0.69	0.2	0.05	0.27	0.07	0.16	-0.13	-0.77	-0.23	-0.02	0.3	-1.11	-0.14	-0.99	-0.02	-0.34
IMAGE:770910	"chr1|nt1830258|1q32.2|AA433851|ELF3|E74-like factor 3 (ets domain transcription factor, epithelial-specific )|(3)"	-0.38	-0.26	-0.27	-0.29	-0.36	-0.11	-0.56	0.38	0.22	0.42	0.4	0.12	0.28	0.17	0.65	0.44	0.43	0.2	0.39	0.53	0.36	0.47	-0.4	0.28	0.2	-0.05	0.01	-0.29	-0.02	0.04	0.02	-0.27	0.02	0.09	-0.17	-0.17	0.09	-0.05	0.23	-0.12	0.13	0.05	-0.03	0.17	-0.33	0.01	-0.88	-0.48	2.15	-1.3	-0.05	-1.39	-0.43	0.83	0.62	0.55	-0.65	-1.19	-0.05	0.53	0.32	-0.85	-0.18	1.04	-0.22	1.49	0.49	-0.04	0.33	-1.01	-0.54	-0.31	-0.8	-0.39	-0.79	-0.85	-0.58	-0.63	0.41	1.69	-1.01	1.59	-0.28	-1.11	1.38	0.89	1.54
IMAGE:281162	chr1|nt3256973|1|N50962|FLJ20430|hypothetical protein FLJ20430						0	-0.42	-0.03	-0.4	-0.17	0.21	0.11	-0.07	0.01	-0.01	-0.06	0.24	0.01	0.07	-0.58	0.19	-0.51	0.2	0.07	0.06	-0.04	-0.43	-0.1	0.03	0.21	-0.15	0.11	-0.06	0.1	-0.27	-0.34	0	0.07	0.26		-0.07	-0.23	0				0.47	0.91		0.72	-0.35		-0.17			0.01	-0.13	-0.4	0.01		0.05	0.41	-1.02	-0.33		0.67	-0.19	0.26			-0.84	-0.13		0.18	-0.33	-0.1	0.4	-0.3		0.94	0.48	0.31	0.27	0.35	-0.48	0.42	0.14
IMAGE:345586	"chr1|nt4019416|1p36.2|W71984|TNFRSF12|tumor necrosis factor receptor superfamily, member 12 (translocating chain-association membrane protein)"	0.1	0.03	0.16	0.19	0.28	0.04	0.28	-0.1	-0.06	0.14	0.07	-0.18	-0.17	0	-0.01	-0.04	0.01	0.15	0.06	0.26	0.21	-0.22	0.16	0.01	0.4	0.12	0.07	0.11	0.24	0.24	-0.07	-0.06	0.04	0.03	0.14	-0.03	0.14	0.1	0.11	-0.01	0.21	0.19	0.21	0.19	0.18	0.1	0.18	0.92	0.65	0.38	-0.07	-0.54	0.41		-0.14	0.06	0.15	-0.07	0.15	0.45	0.08	0.77	-0.88	0.05	-0.32	0.14	-0.14	0.52	-0.03	-0.1	-0.17	0.05	-0.41	0.09	-0.45	-0.1	-0.45	-0.27	-0.1	0.18	0.34	0.21	0.43	0.05	-0.03	0.06	-0.02
IMAGE:782826	chr1|nt4103194||AA448257||ESTs	-0.18	-0.1	0.06	0	-0.58	0.11	0.2	0.07	0.25	0.06	-0.04	-0.22	-0.32	0.2	0.37	0.08	0.06	-0.17	0.19	0.12	-0.54	0.07	0.11	0.16	-0.1	0	-0.2	-0.29	-0.01	0.53	-0.09	-0.06	0.03	0.16	1.31	0.62	0.14	-0.09	-0.04	-0.06	0.04	0.1	0.08	0.21	0.41	0.38		-0.06	-0.16	0.54	0.97	1.25	-0.03	-0.29	-0.09	-0.32	-0.43	0.84	0.47	-0.2	0.05	-0.24	-0.05		0.1	-0.59	0.07	-0.03	-0.21	-0.28	-0.45	-0.27	0.11	-0.01	-0.09	-0.32	-0.79	0.19		0.3	0.15		0	0.31			
IMAGE:471799	chr1|nt4104207|1p36.31-p36.11|AA035123|HBACH|cytosolic acyl coenzyme A thioester hydrolase	0.06	-0.04	0.14	0.12	0.19	-0.03	0.07	0	0.18	0.12	0.06	-0.03	-0.15	-0.1	-0.1	-0.06	-0.12	0.11	0.15	-0.04	-0.03	-0.06	0.1	0.01	0.16	0.16	0.08	0.03	0.07	0.14	-0.06	0.18	0.08	0.04	0	0.03	0.08	0.04	0	0.16	0.01	0.11	0.03	-0.01	0.14	0.2	0.97	-0.03	1.47	1.02	0.21	-0.2	1.09	-0.19	-0.73	0.32	0.67	-0.23	0.25	0.47	0.77	-0.25	-0.43	-0.53	-0.4	0.02	-0.09	-0.59	0.2	-0.49	0.04	-0.11	-0.86	1.13	-0.68	-0.62	0.11	-0.01	0.27	-0.31	0.29	0.72	-0.75	0.01	0.38	0.6	0.04
IMAGE:48631	"chr1|nt4397122|1p36.3|H14383|KCNAB2|potassium voltage-gated channel, shaker-related subfamily, beta member 2"	-0.12	0.07	0.01	0.01	-0.09	0.14	-0.47	0.5	-0.3	0.16	0.23	0.1	0.71	0.2	0.26	-0.03	-0.09	0.16	0.32	-0.6	0.33	-0.09	-0.17	-0.03	0	0.03	-0.01	-0.12	0.18	0.21	0.01	0.29	0.07	0.3	0.34	-0.43	0.03	-0.06	0.28	0.06	0.19	-0.25	0.1	-0.22	-0.06	-0.17	-1.64	-0.17	-1.26	-0.95	0.63	0.98	0.08		-0.64	0.46	-0.02	-0.34	-0.59	0.36	0.24	-0.1	-0.34	0.36	0.12	0.01	0.46	-0.1	-0.44	0.08	-0.39	0.3	0.3	-0.34	-0.64	-0.17		0.01	-0.13	0.33	0.18	-0.3	0.81	-0.95	-0.13	0.54	-0.7
IMAGE:742642	chr1|nt7143695|1p36.12-36.33|AA400258|MIG-6|Gene 33/Mig-6	0.18	0.15	-0.04	0.29	0.06	-0.07	0.37	-0.29	-0.12	-0.42	-0.36	-0.18	-0.15	0.03	-0.25	-0.09	-0.04	-0.15	-0.71	-0.25	-0.1	-0.25	-0.04	-0.06	-0.1	-0.12	-0.12	-0.34	-0.17	-0.18	-0.22	1.03	-0.06	-0.07	-0.23	-1.69	-0.01	0.28	-0.38	0.24	-0.12	-0.04	-0.07	0.08	0.14	0.2		-0.75	0.15	0.42	-0.07	-0.79	0.04	0.04	0.02	-0.08	-0.26	-0.24	0.32	-0.77	-0.12	0.33	0.11	0.57	-0.49	-0.07	-0.24	0.6	-0.21	-0.04	0.13	0.1	-0.43	0.19	0.57	-0.21	0.31	-0.3	-0.36	-0.26	-0.21	1.28	0.08	0.35	-0.46	0.3	0.36
IMAGE:843248	chr1|nt7377441|1|AA486016|VAMP3|vesicle-associated membrane protein 3 (cellubrevin)	-0.15	0.11	0	0.04	0.01	-0.12	-0.18	0.14	-0.22	-0.07	-0.2					-0.06	0.04	0		0.32	0.42	0.19	-0.1	0.11	0.01	0.14	0.07	-0.06	0.03	0.16	-0.07	0.12	0.23	0.08	0.23	0	0.18	0.23	0.08	-0.07	-0.01	-0.27	0.16	-0.17	0.08	-0.23	0.74	0.25	0.31	0.37	-0.18	-0.36	-0.31	0.57	-0.27	0.31	0.13	0.39	0.17	0.02	-0.43	0.69	-0.27	0.39	0.41	-0.03	-0.05	0.22	0.06	0.17	0.22	0.02	-0.14	0.49	-0.53	0.06	-0.12	0.04	-0.38	-0.12	-0.33	-0.07	-0.2	-0.23	-0.53	0.22	-0.03
IMAGE:190732	"chr1|nt8669552|1p36.2|H38650|SLC2A5|solute carrier family 2 (facilitated glucose transporter), member 5"	0.52	0.12	0.29	0.25	0.14	-0.49	-0.38	0.28	-0.38	-0.14	-0.12	0.03		0.23	0.52	0.32	0.25	0.04	0.33	0.24	0.36	0.52	0.4	0.3	0.32	0.15	0.19	0.23	0.14	0.37	0.33	-0.32	0.03		-0.07	-0.32	0.12	0.23	0.06	0.12	0.07	-0.06	0.28	-0.2	0.11	-0.25	-0.75	-1.21	-1.04	-2.21	0.83	0.25	-0.31		-0.75	0.79	-0.13	-0.41	-0.41	-0.21	0.43	0.18	0.79	0.69	0.18	-0.21	-0.51	0.18	0.37	-0.75	0.25	0.59	-0.13	-0.41	-0.21	0.87	0.31		-0.41	-1.04	0.74	-0.75	0.31	0.37	-0.63	-0.63	-0.31
IMAGE:292416	"chr1|nt9143144||N68404||Homo sapiens cDNA: FLJ22807 fis, clone KAIA2887"	0	-0.09	-0.04	0.12	0.03	-0.04	0.16	-0.01	-0.14	0.54	-0.25	0	-0.32	0.32	-0.36	0.04	-0.25	-0.1	-0.49	0.12	0.08	-0.4	0.07	-0.2	-0.29	-0.15		-0.07	0	0.34	0	0.08	0.06	-0.1	-0.18	0.11	-0.03	-0.06	0.2	-0.1	-0.03	0.03	0.04	-0.04	0.36	0.06	-1.05	-0.59	-1.02		-1.34	-0.5	-0.31		0.22	-0.83	-0.22	0.54	-0.74	0.59	-0.16	-0.54	0.04	0.26	-0.95	-0.02	0.82	-0.09		0.61	0.49	-0.25	-0.8	-0.9	0.66	0.12	-0.09	-0.05		2	-0.08		0.16	0.34	0.75		0.33
IMAGE:154769	"chr1|nt9143144||R55630||Homo sapiens cDNA: FLJ20895 fis, clone ADKA03483"	0.21	-0.1	0.12	0.16	-0.1	-0.25	-0.74	0.15	-0.49	-0.03	0.01	-0.17	0.11	0.51	0.34	0.04	0.08	-0.09	0.25	0.1	0.01	0.14	0.31	0	0.1	0.08	0.03	-0.06	0.2	0.12	0.03	-0.3	-0.38	0.01	-0.17	-0.74	0	0.03	0.03	0.18	0.11		-0.01	-0.14	0.08	-0.25	-0.15	-0.52	-0.55	-1.13	-0.9	0.19	-0.23	-0.04	-0.08	-0.5	0.15	0.11	-0.72	0.37	-0.59	-0.44	0.57	0.63	-0.28	-0.68	0.52	-0.37		0.61	0.29	-0.26	-0.21	-0.33	0.03	0.06	-0.57	0.36		1.11	-0.24	0.71	-0.15	0.18		0.68	0.02
IMAGE:841357	"chr1|nt9820020|1p36.3-p36.2|AA487452|DFFA|DNA fragmentation factor, 45 kD, alpha polypeptide"	0	-0.17	0.03	0.1	0.46	0.07	0	0.01	0.31	-0.42	0.07	0.07	-0.04	0.12	0.15	-0.14	-0.06	-0.17	-0.17	0.24	0.04	-0.47		0.14	-0.03	-0.27	-0.03	-0.07	-0.22	0.01	0.19	0.07	0.1	-0.04	0.06	-0.36	-0.14	-0.06	0.01	-0.23	-0.12	0.07	0.04	-0.04		0.19	0.01	-0.32	-0.36	-0.62	-0.12	1.32	0.2		-0.03	-0.39	-0.12	0.42	-0.34	0.06		0.42	0.01	-0.07	-0.51	-0.21	0.32	0.03	0.1	0.15	-0.49	-0.32		0.1	-0.49	-0.19	0.01	-0.27		-0.23	-0.46	0.66	0.06	0.23			0.26
IMAGE:897673	chr1|nt9981947|1p36.3-p36.13|AA598759|PGD|phosphogluconate dehydrogenase	0.28	0.14	0.08	-0.04	0.06	0.28	0.18	-0.23	-0.12	-0.36	0.1	0.01	-0.09	0.12	0.19	0.1	-0.06	0.04	-0.09	-0.29	0.24	0.25	-0.12	0.01	0.12	0.19	-0.1	-0.04	0.11	0.15	0.19	-0.18	-0.06	0.12	0.08	-0.1	0	0.08	0.24	0	0.1	0.18	0.11	-0.18	0.07	-0.12	0.96	1.54	1.32	1.3	0.26	0.08	-0.23	-0.87	1.1	0.93	-0.02	-0.29	-0.35	0.3	-0.29	0.65	-0.55	0.37	0.37	0.83	0.26	-0.07	0.17	-0.17	-0.48	0.3	0.21	-0.41	-1.7	-0.48	-1.07	-0.23	0.93	-0.07	1.08	-0.29	0.37	0.41	-0.35	-0.41	-0.41
IMAGE:320834	chr1|nt10142104|1p36.3|W38657|UBE4B|ubiquitination factor E4B (homologous to yeast UFD2)|(2)	0.1	0.2	0.24	0.1	0.04	-0.48	-0.48	-0.08	-0.47	-0.45	-0.11	-0.18	-0.2	0.14	-0.04	-0.11	-0.19	-0.1	-0.07	-0.2	-0.47	0.11	0.08	-0.06	0.12	-0.2	-0.32	-0.3	0.16	-0.11	0.05	-0.11	-0.24	-0.06	-0.06	-0.35	-0.1	0.21	0.16	0.11	-0.04	-0.12	-0.01	-0.14	0.05	-0.38	0.45	0.82	0.42	-0.25	-0.49	0.44	-0.18	-1.07	-0.34	0.44	0.06	0.07	-0.08	0.4	-0.47	0.26	0.03	-0.47	0.22	-0.17	-0.12	-0.02	0.38	-0.14	0.28	0.2	-0.18	0.09	-0.03	0.47	-0.03	0.04	-0.31	0.47	0.15	0.17	0.04	0.07	-0.43	0.27	-0.42
IMAGE:293576	chr1|nt11343540|1|N69283|TARDBP|TAR DNA binding protein	0.06	0.04	0.06	0.14	0.1	0.11	-0.42	0.03	0.11	0.07	0.25	0.12	-0.1	-0.1	-0.22	-0.03	-0.18	-0.03	0.19	-0.04	0	0.01		0.08	0.14	0.15	0.26	0.19	-0.06	0.06	0.1	0.11	0.36	0.34	0.1	-0.07	0.26	0.11	-0.06	-0.04	0.06	-0.18	0.19	0.1	0.2	-0.01	0.81	0.72	0.62	0.64	-0.08	-1.04	-0.33	-0.08	-0.19	0.14	-0.38	-0.41	0.23	0.31	-0.38	0.31	-0.63	0	0.05	-0.08	0.01	-0.02	-0.57	-0.13	-0.08	-0.11	-0.36	-0.17	-0.08	0.16	0.2	-0.63	0.57	0.67	0.33	0.2	0.68	0.68	0.23	0.63	0.23
